"","DATE","Jan.CPI","state_code","Change.in.Total.Homelessness..2021.2022","Change.in.Total.Homelessness..2020.2022","Change.in.Total.Homelessness..2019.2022","Change.in.Total.Homelessness..2018.2022","Change.in.Total.Homelessness..2017.2022","Change.in.Total.Homelessness..2016.2022","Change.in.Total.Homelessness..2015.2022","Change.in.Total.Homelessness..2014.2022","Change.in.Total.Homelessness..2013.2022","Change.in.Total.Homelessness..2012.2022","state","property_type","median_sale_price","Overall.Homeless..2012","Overall.Homeless..2013","Overall.Homeless..2014","Overall.Homeless...Under.18..2014","Overall.Homeless...Age.18.to.24..2014","Overall.Homeless...Over.24..2014","Overall.Homeless..2015","Overall.Homeless...Under.18..2015","Overall.Homeless...Age.18.to.24..2015","Overall.Homeless...Over.24..2015","Overall.Homeless..2016","Overall.Homeless...Under.18..2016","Overall.Homeless...Age.18.to.24..2016","Overall.Homeless...Over.24..2016","Overall.Homeless..2017","Overall.Homeless...Under.18..2017","Overall.Homeless...Age.18.to.24..2017","Overall.Homeless...Over.24..2017","Overall.Homeless..2018","Overall.Homeless...Under.18..2018","Overall.Homeless...Age.18.to.24..2018","Overall.Homeless...Over.24..2018","Overall.Homeless..2019","Overall.Homeless...Under.18..2019","Overall.Homeless...Age.18.to.24..2019","Overall.Homeless...Over.24..2019","Overall.Homeless..2020","Overall.Homeless...Under.18..2020","Overall.Homeless...Age.18.to.24..2020","Overall.Homeless...Over.24..2020","Overall.Homeless..2021","Overall.Homeless...Under.18..2021","Overall.Homeless...Age.18.to.24..2021","Overall.Homeless...Over.24..2021","Overall.Homeless..2022","Overall.Homeless...Under.18..2022","Overall.Homeless...Age.18.to.24..2022","Overall.Homeless...Over.24..2022","state.income","homelessness_final_change","inflation_adjusted_price","region"
"1","2012",226.665,"AK","19.0%","19.0%","21.7%","15.1%","25.7%","19.6%","18.6%","30.0%","19.2%","21.3%","Alaska","All Residential",240800,"1,913","1,946","1,784","397","202","1,185","1,956","411","197","1,348","1,940","274","173","1,493","1,845","305","186","1,354","2,016","349","191","1,476","1,907","335","204","1,368","1,949","326","197","1,426","1,949","302","305","1,342","2,320","328","203","1,789",79030,"increased",298681,"West"
"2","2012",226.665,"AK","19.0%","19.0%","21.7%","15.1%","25.7%","19.6%","18.6%","30.0%","19.2%","21.3%","Alaska","Condo/Co-op",188900,"1,913","1,946","1,784","397","202","1,185","1,956","411","197","1,348","1,940","274","173","1,493","1,845","305","186","1,354","2,016","349","191","1,476","1,907","335","204","1,368","1,949","326","197","1,426","1,949","302","305","1,342","2,320","328","203","1,789",79030,"increased",234306,"West"
"3","2012",226.665,"AK","19.0%","19.0%","21.7%","15.1%","25.7%","19.6%","18.6%","30.0%","19.2%","21.3%","Alaska","Multi-Family (2-4 Unit)",313800,"1,913","1,946","1,784","397","202","1,185","1,956","411","197","1,348","1,940","274","173","1,493","1,845","305","186","1,354","2,016","349","191","1,476","1,907","335","204","1,368","1,949","326","197","1,426","1,949","302","305","1,342","2,320","328","203","1,789",79030,"increased",389227,"West"
"4","2012",226.665,"AK","19.0%","19.0%","21.7%","15.1%","25.7%","19.6%","18.6%","30.0%","19.2%","21.3%","Alaska","Single Family Residential",263100,"1,913","1,946","1,784","397","202","1,185","1,956","411","197","1,348","1,940","274","173","1,493","1,845","305","186","1,354","2,016","349","191","1,476","1,907","335","204","1,368","1,949","326","197","1,426","1,949","302","305","1,342","2,320","328","203","1,789",79030,"increased",326341,"West"
"5","2012",226.665,"AL","46.8%","12.0%","15.1%","9.3%","-1.1%","-8.7%","-5.5%","-17.7%","-20.0%","-28.0%","Alabama","All Residential",135900,"5,209","4,689","4,561","772","366","3,423","3,970","716","271","2,983","4,111","681","304","3,126","3,793","528","300","2,965","3,434","573","157","2,704","3,261","629","199","2,433","3,351","528","198","2,625","2,556","312","74","1,691","3,752","790","217","2,745",53970,"decreased",168566,"South"
"6","2012",226.665,"AL","46.8%","12.0%","15.1%","9.3%","-1.1%","-8.7%","-5.5%","-17.7%","-20.0%","-28.0%","Alabama","Condo/Co-op",225000,"5,209","4,689","4,561","772","366","3,423","3,970","716","271","2,983","4,111","681","304","3,126","3,793","528","300","2,965","3,434","573","157","2,704","3,261","629","199","2,433","3,351","528","198","2,625","2,556","312","74","1,691","3,752","790","217","2,745",53970,"decreased",279083,"South"
"7","2012",226.665,"AL","46.8%","12.0%","15.1%","9.3%","-1.1%","-8.7%","-5.5%","-17.7%","-20.0%","-28.0%","Alabama","Multi-Family (2-4 Unit)",18000,"5,209","4,689","4,561","772","366","3,423","3,970","716","271","2,983","4,111","681","304","3,126","3,793","528","300","2,965","3,434","573","157","2,704","3,261","629","199","2,433","3,351","528","198","2,625","2,556","312","74","1,691","3,752","790","217","2,745",53970,"decreased",22327,"South"
"8","2012",226.665,"AL","46.8%","12.0%","15.1%","9.3%","-1.1%","-8.7%","-5.5%","-17.7%","-20.0%","-28.0%","Alabama","Single Family Residential",127300,"5,209","4,689","4,561","772","366","3,423","3,970","716","271","2,983","4,111","681","304","3,126","3,793","528","300","2,965","3,434","573","157","2,704","3,261","629","199","2,433","3,351","528","198","2,625","2,556","312","74","1,691","3,752","790","217","2,745",53970,"decreased",157899,"South"
"9","2012",226.665,"AL","46.8%","12.0%","15.1%","9.3%","-1.1%","-8.7%","-5.5%","-17.7%","-20.0%","-28.0%","Alabama","Townhouse",84100,"5,209","4,689","4,561","772","366","3,423","3,970","716","271","2,983","4,111","681","304","3,126","3,793","528","300","2,965","3,434","573","157","2,704","3,261","629","199","2,433","3,351","528","198","2,625","2,556","312","74","1,691","3,752","790","217","2,745",53970,"decreased",104315,"South"
"10","2012",226.665,"AR","15.0%","3.9%","-9.5%","-9.3%","-0.3%","-0.2%","-3.9%","-16.2%","-35.5%","-41.6%","Arkansas","All Residential",100300,"4,214","3,812","2,936","355","315","2,266","2,560","417","243","1,900","2,463","432","197","1,834","2,467","265","209","1,993","2,712","309","213","2,190","2,717","303","317","2,097","2,366","195","258","1,913","2,139","193","165","1,781","2,459","243","243","1,973",48450,"decreased",124409,"South"
"11","2012",226.665,"AR","15.0%","3.9%","-9.5%","-9.3%","-0.3%","-0.2%","-3.9%","-16.2%","-35.5%","-41.6%","Arkansas","Condo/Co-op",121000,"4,214","3,812","2,936","355","315","2,266","2,560","417","243","1,900","2,463","432","197","1,834","2,467","265","209","1,993","2,712","309","213","2,190","2,717","303","317","2,097","2,366","195","258","1,913","2,139","193","165","1,781","2,459","243","243","1,973",48450,"decreased",150085,"South"
"12","2012",226.665,"AR","15.0%","3.9%","-9.5%","-9.3%","-0.3%","-0.2%","-3.9%","-16.2%","-35.5%","-41.6%","Arkansas","Single Family Residential",101100,"4,214","3,812","2,936","355","315","2,266","2,560","417","243","1,900","2,463","432","197","1,834","2,467","265","209","1,993","2,712","309","213","2,190","2,717","303","317","2,097","2,366","195","258","1,913","2,139","193","165","1,781","2,459","243","243","1,973",48450,"decreased",125401,"South"
"13","2012",226.665,"AR","15.0%","3.9%","-9.5%","-9.3%","-0.3%","-0.2%","-3.9%","-16.2%","-35.5%","-41.6%","Arkansas","Townhouse",86000,"4,214","3,812","2,936","355","315","2,266","2,560","417","243","1,900","2,463","432","197","1,834","2,467","265","209","1,993","2,712","309","213","2,190","2,717","303","317","2,097","2,366","195","258","1,913","2,139","193","165","1,781","2,459","243","243","1,973",48450,"decreased",106672,"South"
"14","2012",226.665,"AZ","148.2%","23.4%","35.4%","37.4%","51.5%","39.6%","37.0%","29.1%","28.3%","19.9%","Arizona","All Residential",124700,"11,302","10,562","10,495","2,679","1,024","6,792","9,896","2,124","824","6,948","9,707","2,022","733","6,952","8,947","1,607","660","6,680","9,865","1,680","780","7,405","10,007","1,602","708","7,697","10,979","1,722","824","8,433","5,460","1,387","347","3,726","13,553","1,723","1,084","10,746",58410,"increased",154674,"West"
"15","2012",226.665,"AZ","148.2%","23.4%","35.4%","37.4%","51.5%","39.6%","37.0%","29.1%","28.3%","19.9%","Arizona","Condo/Co-op",72900,"11,302","10,562","10,495","2,679","1,024","6,792","9,896","2,124","824","6,948","9,707","2,022","733","6,952","8,947","1,607","660","6,680","9,865","1,680","780","7,405","10,007","1,602","708","7,697","10,979","1,722","824","8,433","5,460","1,387","347","3,726","13,553","1,723","1,084","10,746",58410,"increased",90423,"West"
"16","2012",226.665,"AZ","148.2%","23.4%","35.4%","37.4%","51.5%","39.6%","37.0%","29.1%","28.3%","19.9%","Arizona","Multi-Family (2-4 Unit)",78100,"11,302","10,562","10,495","2,679","1,024","6,792","9,896","2,124","824","6,948","9,707","2,022","733","6,952","8,947","1,607","660","6,680","9,865","1,680","780","7,405","10,007","1,602","708","7,697","10,979","1,722","824","8,433","5,460","1,387","347","3,726","13,553","1,723","1,084","10,746",58410,"increased",96873,"West"
"17","2012",226.665,"AZ","148.2%","23.4%","35.4%","37.4%","51.5%","39.6%","37.0%","29.1%","28.3%","19.9%","Arizona","Single Family Residential",133000,"11,302","10,562","10,495","2,679","1,024","6,792","9,896","2,124","824","6,948","9,707","2,022","733","6,952","8,947","1,607","660","6,680","9,865","1,680","780","7,405","10,007","1,602","708","7,697","10,979","1,722","824","8,433","5,460","1,387","347","3,726","13,553","1,723","1,084","10,746",58410,"increased",164969,"West"
"18","2012",226.665,"AZ","148.2%","23.4%","35.4%","37.4%","51.5%","39.6%","37.0%","29.1%","28.3%","19.9%","Arizona","Townhouse",84700,"11,302","10,562","10,495","2,679","1,024","6,792","9,896","2,124","824","6,948","9,707","2,022","733","6,952","8,947","1,607","660","6,680","9,865","1,680","780","7,405","10,007","1,602","708","7,697","10,979","1,722","824","8,433","5,460","1,387","347","3,726","13,553","1,723","1,084","10,746",58410,"increased",105059,"West"
"19","2012",226.665,"CA","198.5%","6.2%","13.4%","32.0%","30.4%","45.2%","48.2%","50.5%","44.7%","42.8%","California","All Residential",282600,"120,098","118,552","113,952","15,057","13,853","85,042","115,738","13,657","11,645","90,436","118,142","12,828","12,160","93,154","131,532","14,207","13,276","104,049","129,972","13,936","12,678","103,358","151,278","14,305","12,673","124,300","161,548","16,141","13,391","132,016","57,468","12,424","4,288","39,950","171,521","15,439","10,896","145,186",70800,"increased",350528,"West"
